Exp,Model,CV_R2_Mean,CV_R2_Std,CV_MAE_Mean,CV_MAE_Std
B4,Random Forest,0.9962,0.0005,0.0135,0.0006
B3,Decision Tree,0.9953,0.0012,0.0136,0.0013
B1,Linear Regression,0.9889,0.0008,0.0277,0.0004
B5,XGBoost,0.9795,0.0037,0.0111,0.0007
B6,KNN,0.8974,0.035,0.0577,0.0133
B2,SVR,0.5274,0.3025,0.1626,0.0234
