Exp,Model,RMSE,MAE,R2,MAPE
A5,XGBoost,0.3672,0.2589,0.993,5.33
A2,SVR,0.4337,0.3011,0.9902,5.42
A4,Random Forest,0.6992,0.5175,0.9745,9.75
A3,Decision Tree,0.7118,0.5007,0.9736,9.6
A6,KNN,0.9227,0.6846,0.9556,11.72
A1,Linear Regression,1.0524,0.8042,0.9422,15.21
