Exp,Model,RMSE,MAE,R2,MAPE
B4,Random Forest,0.0206,0.0135,0.9966,N/A
B3,Decision Tree,0.0211,0.0127,0.9964,N/A
B1,Linear Regression,0.0354,0.0277,0.9899,N/A
B5,XGBoost,0.0523,0.0109,0.9781,N/A
B6,KNN,0.0655,0.0384,0.9656,N/A
B2,SVR,0.0864,0.0402,0.94,N/A
