Feature,Mean_SHAP
t2m_celsius_roll7_mean,1.7478848
t2m_anomaly,1.2547601
month,0.7872901
t2m_celsius_lag1,0.7804113
latitude,0.46294737
t2m_celsius_roll30_mean,0.23228823
swvl1_lag1,0.15126723
longitude,0.12405348
day_of_year,0.11799689
sp_hpa,0.053703893
swvl1,0.053171083
v10,0.036564782
wind_speed,0.010010807
t2m_celsius_lag7,0.008744626
u10,0.0077961013
t2m_celsius_lag30,0.0057437853
tp_mm,0.004336952
tp_mm_lag1,0.0022724892
