Season,RMSE,MAE,R2,Count
Winter,0.0244,0.016,0.9956,51644
Spring,0.016,0.0109,0.9963,47464
Summer,0.0191,0.0123,0.9965,47788
Autumn,0.0215,0.0144,0.9974,53104
