Feature,Mean_SHAP
swvl1_lag1,0.11138373
swvl1_roll7_mean,0.025609039
swvl1_roll30_mean,0.0065807984
swvl1_lag30,0.0033309434
swvl1_anomaly,0.0027460498
tp_mm,0.0014508383
sp_hpa,0.00094954175
swvl1_lag7,0.0006917847
day_of_year,0.00065250916
month,0.00061095326
t2m_celsius,0.00037684827
t2m_celsius_lag1,0.0003650314
latitude,0.00035868472
longitude,0.0003224637
tp_mm_lag1,0.00029635322
u10,0.00013442285
v10,0.00010548607
wind_speed,3.9822924e-05
